type,amount,oldbalanceOrg,newbalanceOrig,isFraud,Fraud_Status
0.25,0.018884618,0.009976851,0,0,No Fraud
0,0.00263162,0.137970878,0.167466667,1,Fraud
0.25,0.007593191,0.000449761,0,1,Fraud
0.25,0.000386647,0,0,1,Fraud
1,0.011216799,0.005925898,0,0,No Fraud
1,0.044400535,0.023457054,0,0,No Fraud
0.25,0.001987361,0,0,1,Fraud
1,0.028164326,0.014879373,0,0,No Fraud
1,0.112678221,0.059528541,0,0,No Fraud
0.25,0.030850094,0.016298279,0,0,No Fraud
0.75,0.000735544,0.008258398,0.009456939,1,Fraud
0.25,0.000646905,0.000341764,0,0,No Fraud
1,0.010702905,0.005654405,0,0,No Fraud
0.25,0.015043544,0.007278303,0,1,Fraud
1,0.004330841,0.002288008,0,0,No Fraud
0.25,0.002669128,0.000191088,0,1,Fraud
0,0.000976602,0.065329898,0.079125219,1,Fraud
0.75,0.00023916,0.000678291,0.000663253,1,Fraud
0.25,0.004495508,0.001031014,0,1,Fraud
0.25,0.086427077,0.045659914,0,0,No Fraud
0.25,0.050081827,0.026458512,0,0,No Fraud
0.75,0.00074312,0.000139632,0,1,Fraud
0.25,0.00028798,0.000152141,0,0,No Fraud
0.25,0.007986397,0.000340874,0,1,Fraud
1,0.005591243,0.002953885,0,0,No Fraud
0.25,0.00488983,0.000117471,0,1,Fraud
0.75,0.00012783,0,0,1,Fraud
0.25,0.010559067,0,0,1,Fraud
0,0.013124765,0.000927683,0.009447042,1,Fraud
1,0.011859383,0.006265379,0,0,No Fraud
0.25,0.003975765,0.002100419,0,0,No Fraud
1,0.069969413,0.036965236,0,0,No Fraud
1,0.135243249,0.071449773,0,0,No Fraud
1,0.001225589,0.000647486,0,0,No Fraud
1,0.032284981,0.017056338,0,0,No Fraud
0.25,0.004502357,0.002378621,0,0,No Fraud
0.25,0.00923843,0,0,1,Fraud
1,0.02501541,0.000326793,0,1,Fraud
0.25,0.007023005,0.003710293,0,0,No Fraud
0.25,0.016122481,0.008517598,0,0,No Fraud
1,0.011531091,0.00609194,0,0,No Fraud
1,0.042766916,0.022594003,0,0,No Fraud
0.25,0.049735244,0.02627541,0,0,No Fraud
1,0.157597005,0.083259389,0,0,No Fraud
0.25,0.019628337,0.010369762,0,0,No Fraud
0.25,0.000599985,0.000316976,0,0,No Fraud
0.25,0.006081092,0.003212676,0,0,No Fraud
0.25,0.003182381,0.00035284,0,1,Fraud
0.25,0.001646746,0,0,1,Fraud
0.25,0.001902646,0.000161822,0,1,Fraud
1,0.007693336,0.004064433,0,0,No Fraud
1,0.058207465,0.030751333,0,0,No Fraud
1,0.002692946,0.001422699,0,0,No Fraud
0.25,0.003814828,8.16E-05,0,1,Fraud
0.25,0.002972803,0.001570548,0,0,No Fraud
0.25,0.007467119,0,0,1,Fraud
0.25,0.055173248,0.029148339,0,0,No Fraud
0.25,0.000563603,1.27E-05,0,1,Fraud
0.75,0.000561733,0.000194092,0,1,Fraud
0.75,0.000259179,0,0,1,Fraud
0.25,0.014950227,0,0,1,Fraud
0.75,0.00050502,0.000644961,0.00045442,1,Fraud
0.25,0.004553241,0.002405503,0,0,No Fraud
0.25,0.003944648,0.000343945,0,1,Fraud
0.25,0.011095924,0,0,1,Fraud
1,0.002911621,0.001538226,0,0,No Fraud
0.25,0.05039785,0.026625469,0,0,No Fraud
0.25,0.014449562,0,0,0,No Fraud
0,0.003986093,2.85E-06,0.002534003,1,Fraud
1,0.004457983,0.002355178,0,0,No Fraud
0,0.007980185,0.080342259,0.101611411,1,Fraud
0.25,0.019679782,0.01039694,0,0,No Fraud
0.75,4.42E-05,0.004211527,0.005032818,1,Fraud
0,0.007272402,0.0268213,0.036847343,1,Fraud
0.75,0.000285439,0,0,1,Fraud
1,0.034126138,0,0,1,Fraud
0,0.001648195,0.254381457,0.306729872,1,Fraud
1,0.00372711,0.000618645,0,1,Fraud
0.25,0.001401465,0.000740402,0,0,No Fraud
1,0.092562551,0.048901319,0,0,No Fraud
0.25,0.002620918,0.001384646,0,0,No Fraud
0.25,0.006635141,0.003505383,0,0,No Fraud
0.25,0.0060568,0.003199842,0,0,No Fraud
1,0.008616183,0.004551978,0,0,No Fraud
0.25,0.007546825,0.00398703,0,0,No Fraud
0.25,0.011157648,0.000863673,0,1,Fraud
0.25,0.001978193,0.000341243,0,1,Fraud
0.25,0.012236911,0.006464829,0,0,No Fraud
0.25,0.013740688,0.007259283,0,0,No Fraud
0.25,0.003338097,0.001763536,0,0,No Fraud
1,0.013382532,0.003210101,0,1,Fraud
0,0.00631808,0.125095393,0.154334886,1,Fraud
0.25,0.008801067,8.41E-06,0,1,Fraud
1,0.00039585,0.00020913,0,0,No Fraud
1,0.007265331,0.003838316,0,0,No Fraud
0.25,0.004563567,0.000522245,0,1,Fraud
1,0.104679816,0.055302939,0,0,No Fraud
0.25,0.000547855,0.000289435,0,0,No Fraud
0.25,0.059453825,0.031409792,0,0,No Fraud
0.75,0.000393482,0,0,1,Fraud
1,0.029293831,0,0,1,Fraud
0.25,0.007066613,0.001731374,0,1,Fraud
0.25,0.023884231,0.012618174,0,0,No Fraud
0.25,0.003787607,1.14E-05,0,1,Fraud
0,0.003025878,5.05E-05,0.001981706,1,Fraud
0.25,0.001508362,0,0,1,Fraud
0,0.010207211,0.078651623,0.100993647,1,Fraud
0.75,0.000569788,0.000484484,0.000220461,1,Fraud
0.25,0.0065034,0.003435783,0,0,No Fraud
0.25,0.001524326,0.00080531,0,0,No Fraud
0.25,0.005772974,0,0,0,No Fraud
0.25,0.002283021,0.001206133,0,0,No Fraud
1,0.070925361,0.037470269,0,0,No Fraud
0.25,0.009749391,0,0,1,Fraud
1,0.000795473,0.000420253,0,0,No Fraud
1,0.007709186,0.004072806,0,0,No Fraud
0.25,0.005644395,0.002981966,0,0,No Fraud
0.75,0.000154645,0.00034178,0.000312532,1,Fraud
1,0.052087752,0.027518254,0,0,No Fraud
0.75,0.000255946,7.35E-06,0,1,Fraud
1,0.015016068,0.007933074,0,0,No Fraud
0.25,0.011275071,0.002906787,0,1,Fraud
1,0.00702586,0.003711801,0,0,No Fraud
1,0.003388109,0.001789957,0,0,No Fraud
1,0.191811342,0.101335016,0,0,No Fraud
0.25,0.0021141,0.001116891,0,0,No Fraud
1,0.000696398,0.000367911,0,0,No Fraud
0.75,0.000191828,0,0,1,Fraud
0.25,0.069831214,0.036892225,0,0,No Fraud
0.25,0.012862708,0.000521305,0,1,Fraud
0.25,0.00858091,0,0,1,Fraud
0.25,0.007962679,0.005928283,0.002068747,1,Fraud
0.25,0.001570718,3.07E-05,0,1,Fraud
1,0.001152117,0.00060867,0,0,No Fraud
0.25,0.076442203,0.040384848,0,0,No Fraud
0.75,0.000183142,0.000645133,0.000658971,1,Fraud
0,0.002040178,0.04702793,0.057807437,1,Fraud
0,0.004157197,0.005691131,0.009478084,1,Fraud
0.25,0.011086203,0.005856904,0,0,No Fraud
1,0.13865576,0.073252622,0,0,No Fraud
0.25,0.015029065,0.000192179,0,1,Fraud
0.75,0.000834659,0,0,1,Fraud
1,0.051441458,0.027176813,0,0,No Fraud
1,0.001198286,0.000633061,0,0,No Fraud
1,0.005270967,0.002784682,0,0,No Fraud
0.75,8.50E-05,0.00305137,0.00361277,1,Fraud
0.25,0.003210396,0,0,1,Fraud
1,0.011543487,0.00609849,0,0,No Fraud
0,0.007980793,0.000592884,0.005779067,1,Fraud
0.25,0.008184273,0.000259864,0,1,Fraud
1,0.044430518,0.023472894,0,0,No Fraud
0.25,0.001961835,0.001036448,0,0,No Fraud
1,0.008195544,0.004329752,0,0,No Fraud
0.25,0.000579101,0.000554669,0.000298889,1,Fraud
0.75,0.001040188,0.001112972,0.000677065,1,Fraud
0,0.006711934,1.29E-05,0.004276607,1,Fraud
0.25,0.017750229,0.003273171,0,1,Fraud
1,0.006318099,0.003337887,0,0,No Fraud
0.75,0.000381737,0.000199774,0,1,Fraud
0.25,0.019567099,0.010337409,0,0,No Fraud
1,0.002625496,0.001387065,0,0,No Fraud
0.25,0.009140724,0,0,1,Fraud
0.25,0.006400471,0.000111965,0,1,Fraud
1,0.039989017,0.021126424,0,0,No Fraud
0.25,0.001085258,0.000573348,0,0,No Fraud
0.25,0.006042584,0.003192331,0,0,No Fraud
0,0.005105397,0.046126974,0.05867074,1,Fraud
0.25,0.000575841,0.00030422,0,0,No Fraud
0.5,4.04E-05,3.16E-05,1.23E-05,1,Fraud
0.25,0.004349039,0.002297622,0,0,No Fraud
0,0.003010754,0.154101341,0.187090913,1,Fraud
0.25,0.005983279,0.001680355,0,1,Fraud
1,0.000898528,0.000474698,0,0,No Fraud
0.25,0.004202626,0.002220271,0,0,No Fraud
1,0.002137912,0.001129471,0,0,No Fraud
0.25,0.001632649,0,0,1,Fraud
0.75,0.000143437,0.003025189,0.003544229,1,Fraud
0.25,0.004724229,0.002495837,0,0,No Fraud
0.75,0.000322666,0,0,1,Fraud
0.25,0.011859383,0.006265379,0,0,No Fraud
0.75,0.000703425,0.000700646,0.000395377,1,Fraud
1,0.012448109,0.006576406,0,0,No Fraud
0.25,0.001286131,0.00067947,0,0,No Fraud
0.25,0.085831683,0.045345363,0,0,No Fraud
0.75,0.0008115,0.000314322,0,1,Fraud
1,0.002945944,0.001556359,0,0,No Fraud
0.25,0.075867802,0.040081389,0,0,No Fraud
0.25,0.000863643,0,0,1,Fraud
1,0.053271411,0.028143587,0,0,No Fraud
0.75,0.000621941,8.54E-05,0,1,Fraud
0,0.004415455,0.032060303,0.04132918,1,Fraud
0.75,0.000321981,0,0,1,Fraud
0,0.002230849,0.000941847,0.00254805,1,Fraud
0.25,0.004942137,2.08E-06,0,1,Fraud
1,0.002501393,0.0013215,0,0,No Fraud
0.25,0.000439852,0.010817094,0.012719378,1,Fraud
1,0.004583465,0.002421471,0,0,No Fraud
1,0.009149941,0.004833965,0,0,No Fraud
0.75,7.88E-05,0.000117546,9.12E-05,1,Fraud
0,0.012326666,0.29333181,0.360314727,1,Fraud
0.75,4.20E-05,3.32E-06,0,1,Fraud
0.75,4.93E-05,0.000756817,0.000878166,1,Fraud
0.25,0.00731404,0.000411915,0,1,Fraud
1,0.024697266,0.013047705,0,0,No Fraud
0.25,0.025325843,0.013379786,0,0,No Fraud
0.25,0.016713288,0.008829724,0,0,No Fraud
0.25,0.021235453,0.01121881,0,0,No Fraud
0.75,0.000247131,0,0,1,Fraud
0,0.001046804,0.008499482,0.010878169,1,Fraud
0.75,0.000461962,0.000454544,0.000252936,1,Fraud
0.25,0.025732592,0.013594674,0,0,No Fraud
0.25,0.003912,0.002066732,0,0,No Fraud
0.25,0.013963154,0.000267701,0,1,Fraud
0.25,0.000126365,0.000633867,0.000681478,1,Fraud
1,0.001878304,0.000992319,0,0,No Fraud
1,0.002489199,0.001315058,0,0,No Fraud
1,0.003200937,0.001691073,0,0,No Fraud
1,0.05185979,0.02739782,0,0,No Fraud
0.25,0.021190047,0.011194822,0,0,No Fraud
0.25,0.004637436,0.002449983,0,0,No Fraud
0.75,9.74E-05,0,0,1,Fraud
1,0.001943464,0.001026743,0,0,No Fraud
0,0.006025218,0.097099525,0.120507064,1,Fraud
0.75,0.000134488,0.000287657,0.00026029,1,Fraud
0.25,0.014037654,0.007416172,0,0,No Fraud
0.75,0.000193204,0.00022135,0.000143334,1,Fraud
0.25,0.015998576,0.008452138,0,0,No Fraud
0.25,0.162071144,0.085623101,0,0,No Fraud
1,0.005674115,0.002997667,0,0,No Fraud
0.25,0.01382398,0.007303287,0,0,No Fraud
0.25,0.01697859,0.008969885,0,0,No Fraud
0,0.011142113,0.065930881,0.08630099,1,Fraud
1,0.001535646,0.000811291,0,0,No Fraud
0.25,0.010167303,0.005152568,0,1,Fraud
0.25,0.009708882,0.005129257,0,0,No Fraud
0,0.006000674,0.00117506,0.005221573,1,Fraud
0,0.012336061,0.069870819,0.091793489,1,Fraud
0.25,0.002770644,1.89E-05,0,1,Fraud
0.25,0.047207586,0.024940035,0,0,No Fraud
0.25,0.000104048,5.50E-05,0,0,No Fraud
0,0.006859376,0.01945715,0.027735827,1,Fraud
1,0.001296724,0.000685067,0,0,No Fraud
0,0.012795519,0.017406322,0.029039968,1,Fraud
1,0.015099396,0.007977096,0,0,No Fraud
1,0.005248175,0,0,1,Fraud
0.25,0.005980129,0.003159336,0,0,No Fraud
0.25,0.036785377,0.019433923,0,0,No Fraud
1,0.004163102,0.00219939,0,0,No Fraud
0.25,0.004125295,0,0,1,Fraud
1,0.020117647,0,0,1,Fraud
0.75,0.00011015,0.001395048,0.001606464,1,Fraud
1,0.070576437,0.037285931,0,0,No Fraud
0,0.002219358,0.000681832,0.002228302,1,Fraud
1,0.010731248,0.005669379,0,0,No Fraud
0.25,0.000619767,0.014320843,0.016815521,1,Fraud
0.25,0.00112762,0.000595728,0,0,No Fraud
0.25,0.011689687,0.006175728,0,0,No Fraud
0,0.000268668,3.16E-06,0.000174356,1,Fraud
0.25,0.006519326,0.000724964,0,1,Fraud
0.75,5.50E-05,0.001714189,0.002024973,1,Fraud
1,0.108773469,0.057465639,0,0,No Fraud
1,0.002364633,0.001249249,0,0,No Fraud
0.25,0.25722399,0.135892888,0,0,No Fraud
1,0.035837476,0.018933141,0,0,No Fraud
0,0.002599601,0.095092562,0.115920593,1,Fraud
1,0.015097719,0,0,1,Fraud
1,0.001805869,0.000954051,0,0,No Fraud
0.75,8.67E-05,0,0,1,Fraud
0.25,0.04570452,0.024145956,0,0,No Fraud
0.25,0.007948865,0.004199431,0,0,No Fraud
1,0.023943607,0.012649543,0,0,No Fraud
0.25,0.008951684,0,0,1,Fraud
0.25,0.010202549,0.002509019,0,1,Fraud
1,0.317670952,0.214059753,0.055556253,0,No Fraud
1,0.003848353,0.002033107,0,0,No Fraud
1,0.175119135,0.092516429,0,0,No Fraud
1,0.013740688,0.007259283,0,0,No Fraud
0.25,0.005863843,0.003097902,0,0,No Fraud
0.25,0.024119407,0.012742419,0,0,No Fraud
1,0.005009841,0.002646727,0,0,No Fraud
0.75,0.000213216,0,0,1,Fraud
0.25,0.002478751,0.001309538,0,0,No Fraud
0.25,0.010161763,0.005368517,0,0,No Fraud
0.25,0.006366701,0.003363564,0,0,No Fraud
1,0.00582562,0.003077708,0,0,No Fraud
0.75,0.000279938,0,0,1,Fraud
0.25,0.004315122,0,0,1,Fraud
0.25,0.004326438,0,0,1,Fraud
0.25,0.007206978,8.53E-05,0,1,Fraud
0,0.006949493,0.074694903,0.094170796,1,Fraud
0.25,0.273022299,0.144239224,0,0,No Fraud
0.25,0.000421697,0,0,1,Fraud
0.5,9.87E-05,1.68E-06,0,1,Fraud
0,0.02127472,0.161894544,0.208050698,1,Fraud
0.25,0.004797397,0.006551443,0.004827065,1,Fraud
0.25,0.027992767,0.014788737,0,0,No Fraud
0.25,0.005875496,0,0,1,Fraud
0.25,0.001410177,0,0,1,Fraud
0.5,0.000100642,0.000870443,0.000982096,1,Fraud
1,0.030290867,0.016002836,0,0,No Fraud
0.25,0.003671379,0.004438913,0.003003347,1,Fraud
0.25,0.000546637,0.000288791,0,0,No Fraud
1,0.044166821,0.023333581,0,0,No Fraud
1,0.019448764,0.010274892,0,0,No Fraud
0.25,0.001927484,0,0,1,Fraud
0.25,0.009392392,0.004962054,0,0,No Fraud
0.25,0.003659702,0,0,1,Fraud
0.75,0.00013632,0.012353017,0.014757753,1,Fraud
1,0.009414172,0.00497356,0,0,No Fraud
1,0.00104294,0.000550991,0,0,No Fraud
0.75,0.000415196,0.010715651,0.012613129,1,Fraud
0.25,0.000243385,0,0,1,Fraud
0.25,0.002215427,0,0,1,Fraud
1,0.01251051,0,0,1,Fraud
0.25,0.047464708,0.025075873,0,0,No Fraud
1,0.000996175,0.000526285,0,0,No Fraud
0.75,6.59E-06,0,0,1,Fraud
0.25,0.114582111,0.060534377,0,0,No Fraud
0,0.014394134,0.002129595,0.011697209,1,Fraud
0.25,0.007647252,0.001036686,0,1,Fraud
0.75,7.18E-05,0.003565022,0.004238393,1,Fraud
1,0.000693553,0.000366408,0,0,No Fraud
0.25,0.007117891,0,0,1,Fraud
1,0.067890544,0.035866958,0,0,No Fraud
1,0.005915915,0.003125411,0,0,No Fraud
0.25,0.004896895,0.002080942,0,1,Fraud
0,0.007985918,0.012829609,0.020486872,1,Fraud
1,0.022662792,0.011972881,0,0,No Fraud
0,0.002114231,0.000686531,0.002167209,1,Fraud
1,0.000876269,0.000462938,0,0,No Fraud
0.25,0.008772048,0,0,1,Fraud
0.25,0.047486459,0.025087365,0,0,No Fraud
0.25,0.206432042,0.109059215,0,0,No Fraud
1,0.017076083,0.009021391,0,0,No Fraud
0.25,0.007242535,0,0,1,Fraud
0.25,0.012188405,0,0,1,Fraud
1,0.050408002,2.71E-05,0,1,Fraud
1,0.008613657,0.004550644,0,0,No Fraud
0,0.003396005,8.22E-07,0.002156946,1,Fraud
0.25,0.008272434,0.004370374,0,0,No Fraud
0.25,0.001012911,6.93E-05,0,1,Fraud
0.25,0.005898621,0.002589341,0,1,Fraud
1,0.007730468,0.00408405,0,0,No Fraud
0.25,0.01325098,0.007000568,0,0,No Fraud
0.75,0.000360719,1.95E-05,0,1,Fraud
1,0.011736296,0.006200352,0,0,No Fraud
1,0.019266793,0.010178756,0,0,No Fraud
0.25,0.003701826,0.001955696,0,0,No Fraud
0.25,0.00102185,0,0,1,Fraud
0.75,0.000240368,0.001755222,0.001956607,1,Fraud
0.75,0.000385072,0.001676847,0.00177056,1,Fraud
1,0.003975549,0.002100305,0,0,No Fraud
1,0.017437305,0.00010887,0,1,Fraud
1,0.064452167,0.034050444,0,0,No Fraud
1,0.050560102,0,0,1,Fraud
0.75,0.000398973,0.010476526,0.012336078,1,Fraud
1,0.004291746,0.002267354,0,0,No Fraud
0.25,0.071462432,0.037754007,0,0,No Fraud
0.25,0.191536119,0.101189614,0,0,No Fraud
0.75,0.000742531,0,0,1,Fraud
1,0.00177071,0.000935476,0,0,No Fraud
0.25,0.000626301,0.000169757,0,1,Fraud
0,0.002593225,0.000258421,0.001956848,1,Fraud
0.25,0.021328643,0.011268043,0,0,No Fraud
0.75,3.80E-05,0.005733169,0.006865288,1,Fraud
0.25,0.001553703,0,0,1,Fraud
1,0.048136399,0.025430732,0,0,No Fraud
0.75,0.000254038,0,0,1,Fraud
0.25,0.001373025,0,0,1,Fraud
0.25,0.011799878,0.006233942,0,0,No Fraud
0,0.002133087,0.02232351,0.028179768,1,Fraud
0,0.00696599,2.47E-05,0.004452092,1,Fraud
1,0.01804156,0.009531458,0,0,No Fraud
0,0.004017557,0.101694173,0.124753766,1,Fraud
0.25,0.013652834,4.20E-07,0,1,Fraud
0.25,0.317670952,0.16782736,0,0,No Fraud
0.25,0.018072882,0.009548006,0,0,No Fraud
0.75,0.000786826,0.000362054,0,1,Fraud
0.75,0.000329904,0.000760996,0.000705029,1,Fraud
0.75,0.000141564,0.003820322,0.004500908,1,Fraud
1,0.046633102,0.024636532,0,0,No Fraud
0.25,0.01814419,0.009585678,0,0,No Fraud
0.75,6.25E-05,4.72E-06,0,1,Fraud
0.75,0.000239649,0.000843729,0.000861746,1,Fraud
0.75,0.000473909,1.58E-06,0,1,Fraud
0.75,0.000295955,0,0,1,Fraud
0.25,0.006149083,0.00135255,0,1,Fraud
1,0.01357945,0.000215692,0,1,Fraud
1,0.006074922,0,0,1,Fraud
1,0.016971759,0.008966276,0,0,No Fraud
0.75,0.000571073,0.001865351,0.001878997,1,Fraud
0.25,0.001831635,0.000967663,0,0,No Fraud
0.25,0.001212899,0.000640781,0,0,No Fraud
1,0.011482559,0.006066301,0,0,No Fraud
0.25,0.008244367,0,0,1,Fraud
0.25,0.00610036,0.000126945,0,1,Fraud
1,0.254340993,0.134369785,0,0,No Fraud
1,0.001204995,0.000189964,0,1,Fraud
0.25,0.00341024,0.001801649,0,0,No Fraud
0.25,0.008030115,0.000536897,0,1,Fraud
0.25,0.006297686,0.000677855,0,1,Fraud
0.75,0.000380884,0,0,1,Fraud
0.25,0.07824842,0.041339083,0,0,No Fraud
0,0.004210456,3.86E-05,0.002719397,1,Fraud
0,0.004839843,0.000141478,0.00324259,1,Fraud
0.75,0.000133989,9.67E-06,0,1,Fraud
0.75,0.000113092,0.00084293,0.00094113,1,Fraud
0.25,0.053929588,0.028491306,0,0,No Fraud
0,0.001002301,0.000173987,0.000845387,1,Fraud
1,0.027743998,0.014657311,0,0,No Fraud
0.25,0.000831461,0,0,1,Fraud
1,0.049403628,0.026100216,0,0,No Fraud
1,0.015905752,0.005313884,0,1,Fraud
0.75,0.000641179,8.43E-05,0,1,Fraud
1,0.087017961,0.045972081,0,0,No Fraud
0.75,0.000300289,0,0,1,Fraud
1,0.001044248,0.000551682,0,0,No Fraud
0.25,0.224282583,0.118489757,0,0,No Fraud
0.75,0.000465974,0,0,1,Fraud
0.25,0.010149205,0,0,1,Fraud
0,0.006145985,2.05E-05,0.00392647,1,Fraud
0.25,0.010029265,0.005298517,0,0,No Fraud
0.75,0.001049257,0,0,1,Fraud
0,0.000643736,0.000523605,0.001037879,1,Fraud
0.25,0.016916288,0.000343627,0,1,Fraud
0.25,0.014476577,0.007648057,0,0,No Fraud
0.25,0.039144666,0.020680348,0,0,No Fraud
0.25,0.009501208,0.000670554,0,1,Fraud
1,0.113817863,0.060130621,0,0,No Fraud
1,0.200904637,0.106139056,0,0,No Fraud
0.25,0.317670952,0.16782736,0,0,No Fraud
0,0.000588282,0.16906868,0.203538863,1,Fraud
1,0.000693454,0.000366356,0,0,No Fraud
1,0.013760669,0.000240802,0,1,Fraud
1,0.011238681,0,0,1,Fraud
0.25,0.177622996,0.093839233,0,0,No Fraud
1,0.000326466,0.000172474,0,0,No Fraud
1,0.008850945,0.004676004,0,0,No Fraud
0.25,0.278775143,0.147278484,0,0,No Fraud
0.25,0.200224473,0.105779721,0,0,No Fraud
0.25,0.130402105,0.068892169,0,0,No Fraud
0.25,0.01472034,0,0,1,Fraud
1,0.002550055,0,0,1,Fraud
1,0.000227949,0,0,1,Fraud
0.75,0.000402017,0,0,1,Fraud
1,0.066979045,0.035385408,0,0,No Fraud
1,0.033375647,0.017632543,0,0,No Fraud
0.75,0.00017539,0.000867231,0.000930782,1,Fraud
0.75,0.000123486,0,0,1,Fraud
1,0.015992212,0.008448776,0,0,No Fraud
1,0.024585407,0.012988609,0,0,No Fraud
0.25,0.015063801,0.007958291,0,0,No Fraud
0.75,0.000186123,0,0,1,Fraud
0,0.000847364,0.041813618,0.050784276,1,Fraud
0.75,0.000861321,0.003441518,0.003588771,1,Fraud
0,0.008752354,0.004235677,0.010646343,1,Fraud
0.25,0.010598485,0,0,1,Fraud
0.25,0.073475516,0.03881753,0,0,No Fraud
0,0.00718849,0.004078034,0.009464087,1,Fraud
1,0.018484953,0.009765705,0,0,No Fraud
0.25,0.017653991,0.009326703,0,0,No Fraud
1,0.002784725,0.001471186,0,0,No Fraud
1,0.236212228,0.124792256,0,0,No Fraud
0.25,0.003939444,0.00017929,0,1,Fraud
1,0.317670952,0.190264218,0.026961783,0,No Fraud
0.25,0.004225422,0.002938607,0.000848733,1,Fraud
0.75,0.000176186,0.000747172,0.000786006,1,Fraud
0.25,0.000239383,0.000126468,0,0,No Fraud
0.25,0.029636241,0.015656994,0,0,No Fraud
0.25,0.003479312,0.00183814,0,0,No Fraud
0.25,0.006476738,0.003421697,0,0,No Fraud
1,0.036612813,0.019342756,0,0,No Fraud
0.75,6.34E-05,0.000526088,0.000591948,1,Fraud
0,0.006936395,0.157067118,0.193147007,1,Fraud
1,0.001386497,0,0,1,Fraud
1,0.016092939,0,0,1,Fraud
1,0.032022997,0,0,1,Fraud
0.75,0.000507545,0,0,1,Fraud
1,0.01544438,0.008159353,0,0,No Fraud
0,0.009722555,0.065166892,0.084481716,1,Fraud
0.25,0.010384165,0.005486013,0,0,No Fraud
0.25,0.010648949,0.0056259,0,0,No Fraud
0.25,0.005975298,0.003156784,0,0,No Fraud
0.75,0.00017364,0,0,1,Fraud
0.25,0.073855544,0.039018302,0,0,No Fraud
1,0.004772849,0.002521523,0,0,No Fraud
1,0.053023843,0.028012796,0,0,No Fraud
1,0.091318518,0.048244089,0,0,No Fraud
1,0.074326844,0.039267292,0,0,No Fraud
0.25,0.032633075,0.017240238,0,0,No Fraud
0,0.01013978,0.000469212,0.007001089,1,Fraud
0.75,0.000204299,0,0,1,Fraud
0.25,0.025830885,0.013646602,0,0,No Fraud
0,0.001977857,0.070259316,0.08568442,1,Fraud
0.25,0.009568037,0.005054848,0,0,No Fraud
0.25,0.005032757,0,0,1,Fraud
0.25,0.015071901,0,0,1,Fraud
0.25,0.317670952,0.16782736,0,0,No Fraud
